x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
57,16,0.010437,-0.026093,-0.015954,550.045574,201.651962
58,16,0.011307,-0.026093,-0.031465,685.782298,339.763275
58,16,0.011307,-0.026093,-0.025482,636.475346,525.256531
58,16,0.011307,-0.026093,-0.017028,592.543180,426.764038
59,16,0.012177,-0.026093,-0.025780,690.308338,357.088501
59,16,0.012177,-0.026093,-0.018414,641.349442,540.796143
59,16,0.012177,-0.026093,-0.022483,597.775594,381.314026
59,16,0.012177,-0.026093,-0.011933,560.843351,230.462128
59,16,0.012177,-0.026093,-0.007004,531.937888,153.046127
60,16,0.013046,-0.026093,-0.031139,695.136817,352.286316
60,16,0.013046,-0.026093,-0.022264,646.543656,458.656555
60,16,0.013046,-0.026093,-0.020276,603.345053,540.491333
60,16,0.013046,-0.026093,-0.010626,566.775843,237.441818
61,16,0.013916,-0.026093,-0.022692,700.261478,216.068848
61,16,0.013916,-0.026093,-0.026915,652.050337,356.619202
61,16,0.013916,-0.026093,-0.020113,609.242313,381.076508
61,16,0.013916,-0.026093,-0.018349,573.049561,165.253922
62,16,0.014786,-0.026093,-0.022849,705.675869,212.253357
62,16,0.014786,-0.026093,-0.022730,657.861640,367.920074
62,16,0.014786,-0.026093,-0.017075,615.457952,378.579254
62,16,0.014786,-0.026093,-0.009869,579.653426,212.113113
63,16,0.015656,-0.026093,-0.026468,711.373375,229.387207
63,16,0.015656,-0.026093,-0.020317,663.969565,416.279694
63,16,0.015656,-0.026093,-0.022300,621.982425,351.772003
63,16,0.015656,-0.026093,-0.018710,586.576287,320.997650
64,16,0.016525,-0.026093,-0.023832,717.347249,230.657486
64,16,0.016525,-0.026093,-0.020761,670.366004,489.724854
64,16,0.016525,-0.026093,-0.017581,628.806118,354.306458
64,16,0.016525,-0.026093,-0.013034,593.806987,286.963287
65,16,0.017395,-0.026093,-0.030334,723.590646,252.914597
65,16,0.017395,-0.026093,-0.027037,677.042782,405.513916
65,16,0.017395,-0.026093,-0.014997,635.919399,388.631531
65,16,0.017395,-0.026093,-0.009347,574.469963,178.376419
66,16,0.018265,-0.026093,-0.023702,730.096653,215.699432
66,16,0.018265,-0.026093,-0.027051,683.991687,162.295410
66,16,0.018265,-0.026093,-0.021997,643.312662,417.851257
66,16,0.018265,-0.026093,-0.015328,609.147589,197.015823
67,16,0.019135,-0.026093,-0.036974,840.810509,166.382309
