x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
62,15,0.014786,-0.026962,-0.012216,611.159844,269.356750
62,15,0.014786,-0.026962,-0.013808,578.329254,161.245407
63,15,0.015656,-0.026962,-0.023231,657.667183,163.358444
63,15,0.015656,-0.026962,-0.018882,617.729715,205.157349
63,15,0.015656,-0.026962,-0.012599,585.267778,212.121658
64,15,0.016525,-0.026962,-0.017864,664.124327,159.735962
65,15,0.017395,-0.026962,-0.022364,670.863227,154.307053
65,15,0.017395,-0.026962,-0.018136,631.760513,156.406509
65,15,0.017395,-0.026962,-0.009520,576.977107,152.610443
66,15,0.018265,-0.026962,-0.013527,639.201882,186.496094
67,15,0.019135,-0.026962,-0.029536,729.557973,160.049103
67,15,0.019135,-0.026962,-0.024763,685.152698,229.330673
67,15,0.019135,-0.026962,-0.017757,646.914288,185.420471
68,15,0.020004,-0.026962,-0.023498,692.686524,171.278381
68,15,0.020004,-0.026962,-0.020169,654.888157,154.166992
69,15,0.020874,-0.026962,-0.015372,663.114056,161.693100
69,15,0.020874,-0.026962,-0.010055,611.147680,151.006332
38,16,-0.006088,-0.026093,-0.007753,487.713272,169.041611
41,16,-0.003479,-0.026093,-0.008870,479.845748,151.730194
43,16,-0.001740,-0.026093,-0.028018,638.325418,151.473267
43,16,-0.001740,-0.026093,-0.019337,541.943354,205.339462
44,16,-0.000870,-0.026093,-0.016208,541.304510,219.269211
44,16,-0.000870,-0.026093,0.000249,459.901256,164.237686
45,16,0.000000,-0.026093,-0.004031,459.650400,152.898193
46,16,0.000870,-0.026093,-0.029082,637.783123,175.570511
46,16,0.000870,-0.026093,-0.020977,586.469688,199.711594
46,16,0.000870,-0.026093,-0.019264,541.304510,214.180344
47,16,0.001740,-0.026093,-0.026614,638.325418,185.000519
47,16,0.001740,-0.026093,-0.018411,587.059386,157.763168
47,16,0.001740,-0.026093,-0.018452,541.943354,253.330399
48,16,0.002609,-0.026093,-0.028266,639.228220,266.449402
48,16,0.002609,-0.026093,-0.018067,588.040900,198.823914
48,16,0.002609,-0.026093,-0.012377,478.160237,155.234329
48,16,0.002609,-0.026093,0.002405,458.210020,163.898804
48,16,0.002609,-0.026093,0.008528,467.378613,160.851013
49,16,0.003479,-0.026093,-0.027835,640.490005,274.112885
49,16,0.003479,-0.026093,-0.024800,589.412275,256.486328
49,16,0.003479,-0.026093,-0.014123,544.491236,208.318207
49,16,0.003479,-0.026093,0.005265,469.102864,160.957687
50,16,0.004349,-0.026093,-0.029259,642.108656,155.237244
50,16,0.004349,-0.026093,-0.014375,546.394351,264.726685
50,16,0.004349,-0.026093,-0.008523,509.406672,227.653030
50,16,0.004349,-0.026093,-0.007868,482.004172,221.417770
51,16,0.005219,-0.026093,-0.028597,644.081484,167.624252
51,16,0.005219,-0.026093,-0.019606,593.313021,164.372879
51,16,0.005219,-0.026093,-0.016149,548.711416,185.622192
51,16,0.005219,-0.026093,-0.015921,511.891189,258.743011
52,16,0.006088,-0.026093,-0.023092,646.405245,191.396347
52,16,0.006088,-0.026093,-0.017547,595.834813,305.215057
52,16,0.006088,-0.026093,-0.016594,551.437214,248.265213
53,16,0.006958,-0.026093,-0.024080,649.076170,241.345612
53,16,0.006958,-0.026093,-0.024005,598.731374,249.412811
53,16,0.006958,-0.026093,0.000072,475.438459,185.363358
54,16,0.007828,-0.026093,-0.026087,652.089994,245.367981
54,16,0.007828,-0.026093,-0.022106,601.997295,167.876419
54,16,0.007828,-0.026093,-0.014779,558.090154,201.460495
54,16,0.007828,-0.026093,-0.011501,521.931979,207.479706
54,16,0.007828,-0.026093,-0.003631,495.223036,192.294617
55,16,0.008698,-0.026093,-0.017784,605.626601,184.978714
55,16,0.008698,-0.026093,-0.005681,484.093018,166.751694
56,16,0.009567,-0.026093,-0.028381,659.126986,196.103882
56,16,0.009567,-0.026093,-0.023714,609.612801,263.575043
57,16,0.010437,-0.026093,-0.028263,717.257996,154.633972
57,16,0.010437,-0.026093,-0.020858,613.948944,218.549530
57,16,0.010437,-0.026093,-0.020500,570.961630,201.456345
58,16,0.011307,-0.026093,-0.021171,618.627671,239.074768
59,16,0.012177,-0.026093,-0.018895,623.641272,196.482590
59,16,0.012177,-0.026093,-0.012376,581.371064,155.315079
59,16,0.012177,-0.026093,-0.007854,546.754684,169.269043
60,16,0.013046,-0.026093,-0.021571,677.080974,156.443832
60,16,0.013046,-0.026093,-0.021145,628.981740,246.442993
60,16,0.013046,-0.026093,-0.015670,587.096164,181.661575
60,16,0.013046,-0.026093,-0.008111,552.838382,160.550644
61,16,0.013916,-0.026093,-0.024845,634.640821,307.091888
61,16,0.013916,-0.026093,-0.018502,593.154996,214.295609
61,16,0.013916,-0.026093,-0.013398,559.268469,184.884186
62,16,0.014786,-0.026093,-0.024689,640.610074,255.366669
62,16,0.014786,-0.026093,-0.014447,599.537442,219.125763
62,16,0.014786,-0.026093,-0.012189,566.033139,152.568954
63,16,0.015656,-0.026093,-0.024500,693.740246,156.806824
63,16,0.015656,-0.026093,-0.023127,646.880911,216.092850
63,16,0.015656,-0.026093,-0.014656,606.233280,219.546143
64,16,0.016525,-0.026093,-0.021120,653.444649,229.997757
64,16,0.016525,-0.026093,-0.015438,613.232245,179.203201
64,16,0.016525,-0.026093,-0.013607,580.518869,155.505371
65,16,0.017395,-0.026093,-0.021274,660.292555,176.983124
65,16,0.017395,-0.026093,-0.016585,620.524081,186.237366
65,16,0.017395,-0.026093,-0.016440,588.216377,193.216324
65,16,0.017395,-0.026093,-0.009439,564.651548,185.087997
66,16,0.018265,-0.026093,-0.023448,667.415880,162.250916
66,16,0.018265,-0.026093,-0.018394,628.098587,159.906998
66,16,0.018265,-0.026093,-0.016571,596.201480,164.702332
67,16,0.019135,-0.026093,-0.023492,719.849724,161.524139
67,16,0.019135,-0.026093,-0.023064,674.805904,183.995834
67,16,0.019135,-0.026093,-0.019050,635.945662,221.265381
68,16,0.020004,-0.026093,-0.022464,682.453962,208.263565
68,16,0.020004,-0.026093,-0.012216,644.055345,176.899658
69,16,0.020874,-0.026093,-0.023440,690.351478,168.350082
69,16,0.020874,-0.026093,-0.020002,652.417841,165.913376
70,16,0.021744,-0.026093,-0.018098,698.489991,208.772018
70,16,0.021744,-0.026093,-0.017099,661.023558,165.288818
71,16,0.022614,-0.026093,-0.017226,669.863120,156.684586
72,16,0.023483,-0.026093,-0.023329,715.456867,190.001907
73,16,0.024353,-0.026093,-0.024687,724.269071,183.279984
33,17,-0.010437,-0.025223,-0.020877,558.916203,155.538864
34,17,-0.009567,-0.025223,-0.019477,554.149604,201.704391
37,17,-0.006958,-0.025223,-0.029045,638.506080,157.085464
39,17,-0.005219,-0.025223,-0.018044,536.166353,195.296036
40,17,-0.004349,-0.025223,-0.013614,533.794836,158.479477
41,17,-0.003479,-0.025223,-0.019039,531.846638,176.682175
42,17,-0.002609,-0.025223,-0.017048,530.326425,198.191559
43,17,-0.001740,-0.025223,-0.022849,575.351077,155.649750
43,17,-0.001740,-0.025223,-0.014330,529.237885,152.171188
43,17,-0.001740,-0.025223,-0.016323,490.959377,172.951782
44,17,-0.000870,-0.025223,-0.028346,627.022689,158.708588
44,17,-0.000870,-0.025223,-0.000254,444.858748,167.227524
45,17,0.000000,-0.025223,-0.018298,574.548657,172.457504
45,17,0.000000,-0.025223,-0.017017,528.365439,161.847809
45,17,0.000000,-0.025223,-0.007848,444.599404,163.812500
46,17,0.000870,-0.025223,-0.014733,490.254100,187.483459
46,17,0.000870,-0.025223,-0.004333,461.716306,153.084793
46,17,0.000870,-0.025223,-0.007719,444.858748,169.467926
47,17,0.001740,-0.025223,-0.026111,627.574281,190.747101
47,17,0.001740,-0.025223,-0.021395,575.351077,154.248428
48,17,0.002609,-0.025223,-0.019736,576.352531,239.331024
48,17,0.002609,-0.025223,-0.017505,530.326425,204.491180
